# frame,detObj,x,y,z,v,snr,noise,label,hypotenuse
0.000000000000000000e+00,2.300000000000000000e+01,5.889872908592224121e-01,8.657298684120178223e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.150000000000000000e+02,7.110000000000000000e+02,3.000000000000000000e+00,1.047088455601710821e+00
0.000000000000000000e+00,2.400000000000000000e+01,3.408491238951683044e-02,1.090184450149536133e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.820000000000000000e+02,7.430000000000000000e+02,3.000000000000000000e+00,1.090717157012049299e+00
0.000000000000000000e+00,2.500000000000000000e+01,-6.476133465766906738e-01,8.776450753211975098e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.820000000000000000e+02,7.430000000000000000e+02,3.000000000000000000e+00,1.090717160816593756e+00
0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,1.134345889091491699e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+02,7.800000000000000000e+02,3.000000000000000000e+00,1.134345889091491699e+00
0.000000000000000000e+00,2.700000000000000000e+01,-3.681170567870140076e-02,1.177399277687072754e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.130000000000000000e+02,8.190000000000000000e+02,3.000000000000000000e+00,1.177974601072967031e+00
0.000000000000000000e+00,2.800000000000000000e+01,4.649182260036468506e-01,1.270070314407348633e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+02,8.300000000000000000e+02,3.000000000000000000e+00,1.352489393825015984e+00
0.000000000000000000e+00,2.900000000000000000e+01,-9.721017479896545410e-01,9.403433799743652344e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+02,8.300000000000000000e+02,3.000000000000000000e+00,1.352489364359718449e+00
0.000000000000000000e+00,3.000000000000000000e+01,-4.799155890941619873e-01,1.311040282249450684e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.440000000000000000e+02,8.250000000000000000e+02,3.000000000000000000e+00,1.396118044556518001e+00
0.000000000000000000e+00,3.100000000000000000e+01,-1.090717196464538574e+00,8.714823722839355469e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.440000000000000000e+02,8.250000000000000000e+02,3.000000000000000000e+00,1.396118020750788391e+00
0.000000000000000000e+00,3.200000000000000000e+01,-4.949129521846771240e-01,1.352010369300842285e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.410000000000000000e+02,8.280000000000000000e+02,3.000000000000000000e+00,1.439746807232838544e+00
